Subject	Grade	Domain Name	Domain Abbreviation	Domain Name Full	New Cluster Name	Cluster Abbreviation	Cluster Name Full	Cluster (old)	Standard Abbreviation	State Standard	Notes
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Working with data	3.MD.B	(3.MD.B) Working with data	Represent And Interpret Data.	3.MD.B.4	"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units‰ÛÓ whole numbers, halves, or quarters."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.5	Recognize area as an attribute of plane figures and understand concepts of area measurement.	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.5.a	"A square with side length 1 unit, called ‰ÛÏa unit square,‰Û is said to have ‰ÛÏone square unit‰Û of area, and can be used to measure area."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.5.b	A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.6	"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.7	Relate area to the operations of multiplication and addition.	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.7.a	"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.7.b	"Multiply side lengths to find areas of rectangles with whole- number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.7.c	Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a ÌÑ b and a ÌÑ c. Use area models to represent the distributive property in mathematical reasoning.	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Area	3.MD.C	(3.MD.C) Area	Geometric Measurement: Understand Concepts Of Area And Relate Area To Multiplication And To Addition.	3.MD.C.7.d	"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."	
Math	3	Measurement &amp; Data	MD	(MD) Measurement &amp; Data	Perimeter	3.MD.D	(3.MD.D) Perimeter	Geometric Measurement: Recognize Perimeter As An Attribute Of Plane Figures And Distinguish Between Linear And Area Measures.	3.MD.D.8	"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."	
Math	3	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Multi-digit arithmetic	3.NBT.A	(3.NBT.A) Multi-digit arithmetic	Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.	3.NBT.A.1	Use place value understanding to round whole numbers to the nearest 10 or 100.	
Math	3	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Multi-digit arithmetic	3.NBT.A	(3.NBT.A) Multi-digit arithmetic	Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.	3.NBT.A.2	"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."	
Math	3	Number &amp; Operations in Base Ten	NBT	(NBT) Number &amp; Operations in Base Ten	Multi-digit arithmetic	3.NBT.A	(3.NBT.A) Multi-digit arithmetic	Use Place Value Understanding And Properties Of Operations To Perform Multi-Digit Arithmetic.	3.NBT.A.3	"Multiply one-digit whole numbers by multiples of 10 in the range 10‰ÛÒ90 (e.g., 9 ÌÑ 80, 5 ÌÑ 60) using strategies based on place value and properties of operations."	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.1	Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.2	Understand a fraction as a number on the number line; represent fractions on a number line diagram.	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.2.a	Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.2.b	Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.3	"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.3.a	"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.3.b	"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model."	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.3.c	"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram."	
Math	3	Number &amp; Operations-Fractions	NF	(NF) Number &amp; Operations-Fractions	Fractions as numbers	3.NF.A	(3.NF.A) Fractions as numbers	Develop Understanding Of Fractions As Numbers.	3.NF.A.3.d	"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving multiplication and division problems	3.OA.A	(3.OA.A) Solving multiplication and division problems	Represent And Solve Problems Involving Multiplication And Division.	3.OA.A.1	"Interpret products of whole numbers, e.g., interpret 5 ÌÑ 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 ÌÑ 7."	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving multiplication and division problems	3.OA.A	(3.OA.A) Solving multiplication and division problems	Represent And Solve Problems Involving Multiplication And Division.	3.OA.A.2	"Interpret whole-number quotients of whole numbers, e.g., interpret 56 Ìá 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 Ìá 8."	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving multiplication and division problems	3.OA.A	(3.OA.A) Solving multiplication and division problems	Represent And Solve Problems Involving Multiplication And Division.	3.OA.A.3	"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1"	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Solving multiplication and division problems	3.OA.A	(3.OA.A) Solving multiplication and division problems	Represent And Solve Problems Involving Multiplication And Division.	3.OA.A.4	"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 ÌÑ ? = 48, 5 = _ Ìá 3, 6 ÌÑ 6 = ?."	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Multiplication and division properties	3.OA.B	(3.OA.B) Multiplication and division properties	Understand Properties Of Multiplication And The Relationship Between Multiplication And Division.	3.OA.B.5	"Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 ÌÑ 4 = 24 is known, then 4 ÌÑ 6 = 24 is also known. (Commutative property of multiplication.) 3 ÌÑ 5 ÌÑ 2 can be found by 3 ÌÑ 5 = 15, then 15 ÌÑ 2 = 30, or by 5 ÌÑ 2 = 10, then 3 ÌÑ 10 = 30. (Associative property of multiplication.) Knowing that 8 ÌÑ 5 = 40 and 8 ÌÑ 2 = 16, one can find 8 ÌÑ 7 as 8 ÌÑ (5 + 2) = (8 ÌÑ 5) + (8 ÌÑ 2) = 40 + 16 = 56. (Distributive property.)"	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Multiplication and division properties	3.OA.B	(3.OA.B) Multiplication and division properties	Understand Properties Of Multiplication And The Relationship Between Multiplication And Division.	3.OA.B.6	"Understand division as an unknown-factor problem. For example, find 32 Ìá 8 by finding the number that makes 32 when multiplied by 8."	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Multiplication and division up to 100	3.OA.C	(3.OA.C) Multiplication and division up to 100	Multiply And Divide Within 100.	3.OA.C.7	"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 ÌÑ 5 = 40, one knows 40 Ìá 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers."	
Math	3	Operations &amp; Algebraic Thinking	OA	(OA) Operations &amp; Algebraic Thinking	Two-step problems and arithmetic patterns	3.OA.D	(3.OA.D) Two-step problems and arithmetic patterns	"Solve Problems Involving The Four Operations, And Identify And Explain Patterns In Arithmetic."	3.OA.D.8	Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.3	
